Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.255 Y RMS:  1.958 Z RMS:  0.697                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.329 Y RMS:  0.732 Z RMS:  0.254                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
    G0002      1.266      1.146     -0.538      0.591   GCP    1039-01       620380.641      4848261.207          199.930       620381.787      4848260.669
   AT0008      1.161     -0.968      0.641      0.364    TP    1038-01       620476.867      4848249.600          189.200       620475.899      4848250.241
   AT0103      1.149     -0.109      1.144     -0.522    TP    1039-01       620514.073      4846946.867          161.010       620513.965      4846948.011
   AT0103      1.124     -0.029     -1.124      0.537    TP    1037-01       620514.073      4846946.867          161.010       620514.044      4846945.744
   AT0052      1.058      0.305      1.014     -0.467    TP    1039-01       620899.384      4846969.458          203.651       620899.689      4846970.471
   AT0052      1.043      0.108     -1.037      0.530    TP    1037-01       620899.384      4846969.458          203.651       620899.492      4846968.421
   AT0005      0.966     -0.057     -0.965     -0.482    TP    1039-01       620905.226      4848387.714          204.081       620905.169      4848386.749
   AT0001      0.887      0.137      0.876      0.398    TP    1038-01       620192.367      4848388.196          200.672       620192.504      4848389.072
   AT0008      0.884      0.429     -0.774     -0.411    TP    1039-01       620476.867      4848249.600          189.200       620477.296      4848248.826
   AT0001      0.862     -0.091     -0.857     -0.412    TP    1037-01       620192.367      4848388.196          200.672       620192.275      4848387.339
   AT0108      0.856     -0.082     -0.853     -0.422    TP    1039-01       620816.040      4848387.607          201.420       620815.958      4848386.754
   AT0004      0.830     -0.405      0.724      0.379    TP    1039-01       620763.560      4848387.551          200.416       620763.154      4848388.276
   AT0163      0.827     -0.527      0.637     -0.365    TP    1038-01       620811.840      4846962.167          191.732       620811.313      4846962.804
   AT0050      0.763     -0.242      0.723     -0.338    TP    1038-01       620618.995      4846960.905          184.467       620618.753      4846961.629
   AT0105      0.725     -0.178      0.703      0.383    TP    1038-01       620386.415      4848390.776          194.372       620386.237      4848391.479
   AT0162      0.721     -0.353      0.629     -0.305    TP    1038-01       620669.393      4846960.731          186.926       620669.040      4846961.360
   AT0110      0.716     -0.124      0.705      0.314    TP    1038-01       621098.302      4848380.416          215.111       621098.178      4848381.121
