Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.285 Y RMS:  2.101 Z RMS:  0.741                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.333 Y RMS:  0.759 Z RMS:  0.263                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
   AT0001      1.056      0.158      1.044      0.482    TP    1038-01       620191.776      4848386.854          200.854       620191.934      4848387.898
   AT0001      1.027     -0.102     -1.022     -0.498    TP    1037-01       620191.776      4848386.854          200.854       620191.674      4848385.832
   AT0161      1.023      0.126     -1.015      0.454    TP    1039-01       620528.355      4846966.041          189.154       620528.481      4846965.026
   AT0110      1.006     -0.188      0.989      0.442    TP    1038-01       621096.202      4848380.163          221.081       621096.014      4848381.151
   AT0005      0.996     -0.229      0.969      0.416    TP    1037-01       620903.735      4848387.956          207.977       620903.505      4848388.924
   AT0159      0.268     -0.004     -0.268      0.101    TP    1039-01       621098.841      4847102.936          187.368       621098.837      4847102.668
   AT0101      0.012     -0.003     -0.012      0.004    TP    1037-01       620907.725      4847080.104          194.277       620907.722      4847080.092
   AT0080      0.009     -0.000      0.009     -0.001    TP    1039-01       620513.184      4847556.765          200.640       620513.184      4847556.774
   AT0110      0.978      0.137     -0.968     -0.459    TP    1039-01       621096.202      4848380.163          221.081       621096.338      4848379.195
   AT0050      0.946      0.185     -0.928      0.412    TP    1039-01       620620.367      4846963.816          183.470       620620.552      4846962.889
   AT0163      0.920     -0.554      0.735     -0.414    TP    1038-01       620812.651      4846965.143          191.352       620812.097      4846965.878
   AT0052      0.914      0.159     -0.900      0.477    TP    1037-01       620899.916      4846972.422          203.585       620900.075      4846971.522
   AT0109      0.897     -0.139      0.886      0.419    TP    1038-01       620956.374      4848383.924          212.596       620956.235      4848384.811
   AT0160      0.896      0.101      0.890     -0.450    TP    1039-01       620388.055      4846966.948          194.274       620388.156      4846967.839
   AT0109      0.876      0.087     -0.871     -0.428    TP    1039-01       620956.374      4848383.924          212.596       620956.461      4848383.053
