Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:    5 X RMS:  0.810 Y RMS:  0.490 Z RMS:  0.649                                          
  Check points   5 X RMS:  3.966 Y RMS:  4.466 Z RMS:  9.044                                          
  Active TPs:  169 X RMS:  0.334 Y RMS:  0.729 Z RMS:  0.249                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY        Res X       Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y     DS Res XY    DS Res X   DS Res Y 
   AT0077      1.233     -0.007      1.233      0.012    TP    1037-01       620384.243      4847672.311          229.673       620384.235      4847673.544      27.56       0.08      27.56       0.03
   AT0103      1.193     -0.118      1.187     -0.542    TP    1039-01       620518.333      4846945.147          160.593       620518.214      4846946.334      30.88       0.03      30.88      -1.53
   AT0103      1.167     -0.025     -1.167      0.556    TP    1037-01       620518.333      4846945.147          160.593       620518.308      4846943.980      30.83      -0.06     -30.83       1.58
    G0010      1.049      0.896      0.546      0.772   GCP    1037-01       620507.181      4847465.379          198.761       620508.077      4847465.925      10.49       8.96       5.46       7.72
    G0010      1.049      0.896      0.546      0.772   GCP    1038-01       620507.181      4847465.379          198.761       620508.077      4847465.925      10.49       8.96       5.46       7.72
    G0010      1.049      0.896      0.546      0.772   GCP    1039-01       620507.181      4847465.379          198.761       620508.077      4847465.925      10.49       8.96       5.46       7.72
   AT0052      1.047      0.273      1.011     -0.466    TP    1039-01       620904.159      4846968.849          203.292       620904.432      4846969.860      25.42      -5.05      24.91      -1.21
    G0002      0.989      0.679     -0.719      0.751   GCP    1039-01       620380.641      4848261.207          199.930       620381.320      4848260.489       9.89       6.79      -7.19       7.51
    G0002      0.989      0.679     -0.719      0.751   GCP    1038-01       620380.641      4848261.207          199.930       620381.320      4848260.489       9.89       6.79      -7.19       7.51
    G0002      0.989      0.679     -0.719      0.751   GCP    1037-01       620380.641      4848261.207          199.930       620381.320      4848260.489       9.89       6.79      -7.19       7.51
   AT0004      0.974     -0.531      0.816      0.430    TP    1039-01       620763.332      4848389.838          198.721       620762.801      4848390.654      28.04      13.22      24.73       1.35
   AT0008      0.951     -0.744      0.592      0.319    TP    1038-01       620476.327      4848250.455          187.253       620475.583      4848251.047      19.78      14.51      13.43       0.78
    G0005      0.891     -0.213      0.865      6.180  Check    1038-01       620866.783      4847533.644          199.386       620866.570      4847534.510       0.00      -0.00       0.00       0.00
    G0005      0.891     -0.213      0.865      6.180  Check    1037-01       620866.783      4847533.644          199.386       620866.570      4847534.510       0.00      -0.00       0.00       0.00
    G0005      0.891     -0.213      0.865      6.180  Check    1039-01       620866.783      4847533.644          199.386       620866.570      4847534.510       0.00      -0.00       0.00       0.00
   AT0005      0.881     -0.188     -0.861     -0.438    TP    1039-01       620905.431      4848390.589          202.348       620905.243      4848389.727      21.90       4.22     -21.49      -1.14
   AT0001      0.849      0.127      0.839      0.382    TP    1038-01       620189.635      4848390.440          194.466       620189.761      4848391.279      22.18      -0.33      22.17       1.08
   AT0052      0.841      0.123     -0.832      0.436    TP    1037-01       620904.159      4846968.849          203.292       620904.282      4846968.017      22.40      -5.49     -21.72       1.17
   AT0001      0.826     -0.083     -0.822     -0.396    TP    1037-01       620189.635      4848390.440          194.466       620189.552      4848389.618      22.12       0.46     -22.12      -1.13
